acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,class
24,0.272,0.508,261640,0.72,0.0,11,0.0563,-5.9079999999999995,0,0.0628,79.983,4,0.47200000000000003,1
25,0.0025,0.439,220104,0.935,0.389,9,0.297,-3.0980000000000003,1,0.0891,76.012,4,0.513,0
26,0.00225,0.748,182526,0.743,0.0,1,0.133,-4.732,1,0.0578,100.00200000000001,4,0.6990000000000001,1
27,0.00126,0.46,220747,0.9890000000000001,0.00028199999999999997,4,0.36,-2.262,0,0.078,88.99799999999999,4,0.331,0
28,0.722,0.528,145040,0.914,0.0,0,0.784,-3.278,1,0.17800000000000002,169.952,4,0.598,0
29,0.23600000000000002,0.7929999999999999,196160,0.8320000000000001,1.12e-05,1,0.20199999999999999,-4.862,0,0.0406,107.661,4,0.872,1
30,0.33399999999999996,0.33399999999999996,216391,0.617,0.0,6,0.163,-5.834,0,0.38299999999999995,85.227,4,0.603,1
31,0.076,0.7340000000000001,235707,0.626,6.54e-06,7,0.168,-5.685,1,0.0458,98.559,4,0.44,1
32,0.0079,0.628,218293,0.833,1.4800000000000002e-05,11,0.07400000000000001,-4.126,0,0.0282,128.003,4,0.56,1
33,0.000261,0.368,245861,0.992,0.0,6,0.278,-2.7510000000000003,1,0.252,158.959,4,0.111,0
34,0.19899999999999998,0.569,204427,0.6829999999999999,0.0,11,0.10800000000000001,-4.269,0,0.14800000000000002,156.154,4,0.634,1
35,0.215,0.49,224107,0.63,0.0,10,0.122,-3.775,0,0.0352,117.949,4,0.205,1
36,0.64,0.763,198827,0.758,0.0,6,0.0706,-5.106,1,0.0576,92.727,4,0.515,1
37,0.0653,0.662,197255,0.795,0.0,2,0.0668,-3.696,1,0.0645,135.077,4,0.816,1
38,0.0423,0.774,224840,0.7559999999999999,0.0,1,0.305,-4.995,1,0.0389,144.032,4,0.9309999999999999,1
39,0.406,0.585,227427,0.413,0.0,2,0.11900000000000001,-9.318999999999999,1,0.0402,165.957,4,0.377,1
40,0.0258,0.419,236987,0.585,0.0,6,0.14300000000000002,-5.435,1,0.0741,72.635,4,0.256,1
41,9.1e-05,0.37200000000000005,245293,0.943,0.0,11,0.299,-3.1839999999999997,1,0.048,105.20100000000001,4,0.597,0
42,1.89e-05,0.38,239586,0.973,0.0,7,0.114,-3.216,0,0.10099999999999999,145.077,4,0.166,0
43,0.0102,0.436,234987,0.562,0.000278,11,0.198,-6.106,1,0.0278,150.066,4,0.24,1
44,3.14e-05,0.255,199667,0.9620000000000001,0.0,7,0.359,-4.3260000000000005,1,0.254,121.20100000000001,3,0.29100000000000004,0
45,0.000148,0.47700000000000004,290547,0.953,1.18e-06,0,0.4,-3.553,0,0.0606,130.914,4,0.365,0
46,0.000667,0.604,248348,0.987,9.04e-05,2,0.37,-3.577,1,0.223,119.014,4,0.287,0
47,0.43,0.7190000000000001,234346,0.585,0.0,7,0.0669,-5.127999999999999,0,0.0309,117.995,4,0.736,1
48,0.00157,0.586,293143,0.8540000000000001,0.0,4,0.4,-8.377,0,0.121,139.95,4,0.28800000000000003,0
49,0.0568,0.733,223479,0.765,0.0,10,0.428,-7.195,1,0.0372,91.99600000000001,4,0.95,1
50,0.000308,0.537,215160,0.866,1.38e-06,11,0.382,-3.08,0,0.0445,126.00299999999999,4,0.41600000000000004,1
51,1.4099999999999999e-05,0.207,242067,0.977,0.0,1,0.29600000000000004,-2.583,0,0.193,128.278,4,0.42,0
52,0.10400000000000001,0.743,231667,0.733,1.05e-05,7,0.149,-5.183,0,0.0513,153.97799999999998,4,0.807,1
53,0.00313,0.36700000000000005,226787,0.8809999999999999,0.0,7,0.185,-4.752,1,0.127,164.028,4,0.514,1
