acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
34,0.199,https://api.spotify.com/v1/audio-analysis/0A9hK4eLHKyvoRq0aOrDbG,0.569,204427,0.683,0A9hK4eLHKyvoRq0aOrDbG,0.0,11,0.108,-4.269,0,0.148,156.154,4,https://api.spotify.com/v1/tracks/0A9hK4eLHKyvoRq0aOrDbG,audio_features,spotify:track:0A9hK4eLHKyvoRq0aOrDbG,0.634,1
35,0.215,https://api.spotify.com/v1/audio-analysis/3Y5mKbaQqZzeId7q7rS2cR,0.49,224107,0.63,3Y5mKbaQqZzeId7q7rS2cR,0.0,10,0.122,-3.775,0,0.0352,117.949,4,https://api.spotify.com/v1/tracks/3Y5mKbaQqZzeId7q7rS2cR,audio_features,spotify:track:3Y5mKbaQqZzeId7q7rS2cR,0.205,1
36,0.64,https://api.spotify.com/v1/audio-analysis/3FESsHW8mAuiIsYpK6aJ6u,0.763,198827,0.758,3FESsHW8mAuiIsYpK6aJ6u,0.0,6,0.0706,-5.106,1,0.0576,92.727,4,https://api.spotify.com/v1/tracks/3FESsHW8mAuiIsYpK6aJ6u,audio_features,spotify:track:3FESsHW8mAuiIsYpK6aJ6u,0.515,1
37,0.0653,https://api.spotify.com/v1/audio-analysis/6NjFrcliD311NZqPkwcyTy,0.662,197255,0.795,6NjFrcliD311NZqPkwcyTy,0.0,2,0.0668,-3.696,1,0.0645,135.077,4,https://api.spotify.com/v1/tracks/6NjFrcliD311NZqPkwcyTy,audio_features,spotify:track:6NjFrcliD311NZqPkwcyTy,0.816,1
38,0.0423,https://api.spotify.com/v1/audio-analysis/6RtPijgfPKROxEzTHNRiDp,0.774,224840,0.756,6RtPijgfPKROxEzTHNRiDp,0.0,1,0.305,-4.995,1,0.0389,144.032,4,https://api.spotify.com/v1/tracks/6RtPijgfPKROxEzTHNRiDp,audio_features,spotify:track:6RtPijgfPKROxEzTHNRiDp,0.931,1
39,0.406,https://api.spotify.com/v1/audio-analysis/6uTb5oNK9RkTjxmh73W7MG,0.585,227427,0.413,6uTb5oNK9RkTjxmh73W7MG,0.0,2,0.119,-9.319,1,0.0402,165.957,4,https://api.spotify.com/v1/tracks/6uTb5oNK9RkTjxmh73W7MG,audio_features,spotify:track:6uTb5oNK9RkTjxmh73W7MG,0.377,1
40,0.0258,https://api.spotify.com/v1/audio-analysis/65MOTX6uSFAnqXl7dlAuId,0.419,236987,0.585,65MOTX6uSFAnqXl7dlAuId,0.0,6,0.143,-5.435,1,0.0741,72.635,4,https://api.spotify.com/v1/tracks/65MOTX6uSFAnqXl7dlAuId,audio_features,spotify:track:65MOTX6uSFAnqXl7dlAuId,0.256,1
41,9.1e-05,https://api.spotify.com/v1/audio-analysis/7rMRs8yRvXzbU7ckpideUB,0.372,245293,0.943,7rMRs8yRvXzbU7ckpideUB,0.0,11,0.299,-3.184,1,0.048,105.201,4,https://api.spotify.com/v1/tracks/7rMRs8yRvXzbU7ckpideUB,audio_features,spotify:track:7rMRs8yRvXzbU7ckpideUB,0.597,0
42,1.89e-05,https://api.spotify.com/v1/audio-analysis/1AJM3ARMqYd43BYXHqTIQ0,0.38,239586,0.973,1AJM3ARMqYd43BYXHqTIQ0,0.0,7,0.114,-3.216,0,0.101,145.077,4,https://api.spotify.com/v1/tracks/1AJM3ARMqYd43BYXHqTIQ0,audio_features,spotify:track:1AJM3ARMqYd43BYXHqTIQ0,0.166,0
43,0.0102,https://api.spotify.com/v1/audio-analysis/3SZLtkoHoECHHuOnNkNCuS,0.436,234987,0.562,3SZLtkoHoECHHuOnNkNCuS,0.000278,11,0.198,-6.106,1,0.0278,150.066,4,https://api.spotify.com/v1/tracks/3SZLtkoHoECHHuOnNkNCuS,audio_features,spotify:track:3SZLtkoHoECHHuOnNkNCuS,0.24,1
